date,close,volume,open,high,low
2017/9/15,920.29,2499466,924.66,926.49,916.36
2017/9/14,925.11,1395497,931.25,932.77,924
2017/9/13,935.09,1101145,930.66,937.25,929.86
2017/9/12,932.07,1133638,932.59,933.48,923.861
2017/9/11,929.08,1266020,934.25,938.38,926.92
2017/9/8,926.5,997699,936.49,936.99,924.88
2017/9/7,935.95,1211472,931.73,936.41,923.62
2017/9/6,927.81,1526209,930.15,930.915,919.27
2017/9/5,928.45,1346791,933.08,937,921.96
2017/9/1,937.34,943657,941.13,942.48,935.15
2017/8/31,939.33,1566888,931.76,941.98,931.76
2017/8/30,929.57,1300616,920.05,930.819,919.65
2017/8/29,921.29,1181391,905.1,923.33,905
2017/8/28,913.81,1085014,916,919.245,911.87
2017/8/25,915.89,1052764,923.49,925.555,915.5
2017/8/24,921.28,1266191,928.66,930.84,915.5
2017/8/23,927,1088575,921.93,929.93,919.36
2017/8/22,924.69,1166320,912.72,925.86,911.4751
2017/8/21,906.66,942328,910,913,903.4
2017/8/18,910.67,1341990,910.31,915.275,907.1543
2017/8/17,910.98,1241782,925.78,926.86,910.98
2017/8/16,926.96,1005261,925.29,932.7,923.445
2017/8/15,922.22,882479,924.23,926.5499,919.82
2017/8/14,922.67,1063404,922.53,924.668,918.19
2017/8/11,914.39,1205652,907.97,917.78,905.58
2017/8/10,907.24,1755521,917.55,919.26,906.13
2017/8/9,922.9,1191332,920.61,925.98,917.2501
2017/8/8,926.79,1057351,927.09,935.814,925.6095
2017/8/7,929.36,1031710,929.06,931.7,926.5
2017/8/4,927.96,1081814,926.75,930.3068,923.03
2017/8/3,923.65,1201519,930.34,932.24,922.24
2017/8/2,930.39,1822272,928.61,932.6,916.68
2017/8/1,930.83,1234612,932.38,937.447,929.26
2017/7/31,930.5,1964748,941.89,943.59,926.04
2017/7/28,941.53,1802343,929.4,943.83,927.5
2017/7/27,934.09,3128819,951.78,951.78,920
2017/7/26,947.8,2069349,954.68,955,942.2788
2017/7/25,950.7,4656609,953.81,959.7,945.4
2017/7/24,980.34,3205374,972.22,986.2,970.77
2017/7/21,972.92,1697190,962.25,973.23,960.15
2017/7/20,968.15,1620636,975,975.9,961.51
2017/7/19,970.89,1221155,967.84,973.04,964.03
2017/7/18,965.4,1152741,953,968.04,950.6
2017/7/17,953.42,1164141,957,960.74,949.2407
2017/7/14,955.99,1052855,952,956.91,948.005
2017/7/13,947.16,1294674,946.29,954.45,943.01
2017/7/12,943.83,1517168,938.68,946.3,934.47
2017/7/11,930.09,1112417,929.54,931.43,922
2017/7/10,928.8,1190237,921.77,930.38,919.59
2017/7/7,918.59,1590456,908.85,921.54,908.85
2017/7/6,906.69,1424290,904.12,914.9444,899.7
2017/7/5,911.71,1813309,901.76,914.51,898.5
2017/7/3,898.7,1710373,912.18,913.94,894.79
2017/6/30,908.73,2086340,926.05,926.05,908.31
2017/6/29,917.79,3287991,929.92,931.26,910.62
2017/6/28,940.49,2719213,929,942.75,916
2017/6/27,927.33,2566047,942.46,948.29,926.85
2017/6/26,952.27,1596664,969.9,973.31,950.79
2017/6/23,965.59,1527513,956.83,966,954.2
2017/6/22,957.09,941639,958.7,960.72,954.55
2017/6/21,959.45,1201971,953.64,960.1,950.76
2017/6/20,950.63,1125520,957.52,961.62,950.01
2017/6/19,957.37,1520715,949.96,959.99,949.05
2017/6/16,939.78,3061794,940,942.04,931.595
2017/6/15,942.31,2065271,933.97,943.339,924.44
2017/6/14,950.76,1487378,959.92,961.15,942.25
2017/6/13,953.4,2012980,951.91,959.98,944.09
2017/6/12,942.9,3762434,939.56,949.355,915.2328
2017/6/9,949.83,3305545,984.5,984.5,935.63
2017/6/8,983.41,1477151,982.35,984.57,977.2
2017/6/7,981.08,1447172,979.65,984.15,975.77
2017/6/6,976.57,1814323,983.16,988.25,975.14
2017/6/5,983.68,1251903,976.55,986.91,975.1
2017/6/2,975.6,1750723,969.46,975.88,966
2017/6/1,966.95,1408958,968.95,971.5,960.01
